location_id,latitude,longitude,city,state,location_type,cluster_code
A01,23.044808,72.495402,Ahmedabad,Gujarat,branch,A-CLUSTER
A02,22.981683,72.513726,Ahmedabad,Gujarat,ATM,A-CLUSTER
A03,23.050772,72.634149,Ahmedabad,Gujarat,ATM,A-CLUSTER
A04,23.036979,72.496485,Ahmedabad,Gujarat,ATM,A-CLUSTER
A05,22.977482,72.572257,Ahmedabad,Gujarat,ATM,A-CLUSTER
S01,21.177549,72.857022,Surat,Gujarat,cluster,S-CLUSTER
S02,21.136653,72.841812,Surat,Gujarat,ATM,S-CLUSTER
S03,21.201257,72.790259,Surat,Gujarat,cluster,S-CLUSTER
V01,22.291225,73.146748,Vadodara,Gujarat,branch,V-CLUSTER
V02,22.267421,73.169193,Vadodara,Gujarat,branch,V-CLUSTER
V03,22.341949,73.191573,Vadodara,Gujarat,ATM,V-CLUSTER
M01,19.131136,72.886395,Mumbai,Maharashtra,cluster,M-CLUSTER
M02,18.974912,72.828063,Mumbai,Maharashtra,branch,M-CLUSTER
M03,19.094565,72.926797,Mumbai,Maharashtra,ATM,M-CLUSTER
M04,19.114703,72.943236,Mumbai,Maharashtra,ATM,M-CLUSTER
M05,19.161276,72.965656,Mumbai,Maharashtra,cluster,M-CLUSTER
M06,19.022714,72.910264,Mumbai,Maharashtra,branch,M-CLUSTER
M07,18.995037,72.842965,Mumbai,Maharashtra,branch,M-CLUSTER
P01,18.548655,73.882397,Pune,Maharashtra,ATM,P-CLUSTER
P02,18.535678,73.810659,Pune,Maharashtra,ATM,P-CLUSTER
P03,18.473276,73.839824,Pune,Maharashtra,ATM,P-CLUSTER
P04,18.546246,73.904699,Pune,Maharashtra,ATM,P-CLUSTER
D01,28.55971,77.11542,Delhi,Delhi,branch,D-CLUSTER
D02,28.594133,77.122238,Delhi,Delhi,branch,D-CLUSTER
D03,28.556425,77.208846,Delhi,Delhi,cluster,D-CLUSTER
D04,28.542474,77.136926,Delhi,Delhi,branch,D-CLUSTER
B01,13.016062,77.581718,Bengaluru,Karnataka,cluster,B-CLUSTER
B02,12.946759,77.684119,Bengaluru,Karnataka,ATM,B-CLUSTER
B03,12.973315,77.520964,Bengaluru,Karnataka,ATM,B-CLUSTER
B04,13.036599,77.532111,Bengaluru,Karnataka,ATM,B-CLUSTER
H01,17.425891,78.475802,Hyderabad,Telangana,ATM,H-CLUSTER
H02,17.368867,78.500124,Hyderabad,Telangana,cluster,H-CLUSTER
H03,17.389076,78.552651,Hyderabad,Telangana,ATM,H-CLUSTER
